Tweets,Subjectivity,Polarity,Analysis
 _a_salvatore  Doesn't it make you wonder where in the HELL these blue check clowns ,0.1,0.0,Neutral
   2 items. 1. When will people stand up to Twitter? Where the protests at their H ,0.0,0.0,Neutral
  Says Twitter Feels  After Massive Bitcoin Hacking Scandal \n\nREAD MORE ,0.75,0.25,Positive
_Mayra Acha  ,0.0,0.0,Neutral
"how do some verified people only have like 1k followers,, maam who did u PAY ??   himself ??",1.0,0.0,Neutral
And we strongly dislike  . He deserves nothing he has. ,0.7333333333333333,0.4333333333333333,Positive
Twitter founder   believes UniversalBasicIncome is a floor people can stand on while we transition towa ,0.0,0.0,Neutral
\You have to make every single detail perfect and you have to limit the number of details\ -  ,0.6071428571428571,0.4642857142857143,Positive
Time for Twitter CEO to Testify\n\nIt's high time to haul Twitter CEO   in to testify before Congress.\n\nBy ,0.5399999999999999,0.16,Positive
"Twitter Boss Apologizes for Hack Amid Claim 1,000-Plus Workers Had Access to Abused Tools  SmartNews",0.0,0.0,Neutral
Time Twitter and   to FUCK OFF!!! ,0.6,-0.78125,Negative
 I sure   was already planning on banning his account Jan 20th if he loses the election anyway.,0.3296296296296296,0.06666666666666667,Positive
  's garage?,0.0,0.0,Neutral
Went to the post office this morning to buy some stamps. I got my stamps. I told the postal worker that he looked l ,0.0,0.0,Neutral
_Jeanie    Well it increasingly obvious that   is in bed with China!,0.5,0.0,Neutral
"., Sir, because we complained about the reply Deboosting by . Twitter lifted the ban as shown on ",0.2,-0.3,Negative
"Twitter has a Multiple Personality Disorder, it was just fine until it was abused, sold, programmed, micro-managed ",0.25,0.20833333333333334,Positive
  sent a baggy of his fascist friends to Taylor Swift to protect him from using the bathroom,0.0,0.0,Neutral
"  You mean like Bill Gates, Steve jobs,  , Jeff Bezos are all good too then?",0.64375,0.19374999999999998,Positive
Well well just got notification from Twitter that an account I reported for harassment was suspended. I'm critical ,0.8,0.0,Neutral
Twitter Inc (TWTR) CEO   on Q2 2020 Results  Earnings Call Transcript \n\nREAD MORE ,0.5,0.5,Positive
" every detail perfect and limit the number of details to perfect.   , co-founder of Twitter ",1.0,1.0,Positive
I have it on good authority that   mother wears Army boots. \n,0.6000000000000001,0.7,Positive
Following the company's major security hack. ,0.3,0.03125,Positive
" The online left just can help themselves. They went after a MINOR, lied endlessly, and tried to ruin his a ",0.31666666666666665,-0.05833333333333333,Negative
Twitter wants to censor QAnon for \coordinating abuse around individual victims\ and \behavior that has the potenti ,0.25,0.1,Positive
_wendy  _2020      Except the ,0.0,0.0,Neutral
" \You don want to ever double pay for an NFL player, by giving up a haul of draft picks as well as a big con ",0.05,0.0,Neutral
The Times - Twitter users fly but advertising revenue falls\n\nvalued at $29 billion .. microblogging service co-foun ,0.9,0.8,Positive
  ,0.0,0.0,Neutral
"Twitter CEO   apologizes for hack targeting Biden, billionaires - The Washington Post ",0.0,0.0,Neutral
Pay-to-tweet model being considered as Twitter's ad revenues collapse   What about they pay ,0.0,0.0,Neutral
" , the Founder and CEO of our beloved Twitter, believes Bitcoin will eventually be the native currency of ",1.0,0.7,Positive
WASHINGTON POST CNN SETTLE LAWSUIT Nick  Sandmann Wins 250 Million Dollar Settlement  \n ,0.2,0.3,Positive
"  Bro, you sound obsessed. I like how Twitter puts your replies at the top every ti ",0.6333333333333333,0.13333333333333333,Positive
" Sandmann has claimed a second victory, he says he isn't done yet. He filed a total of eight defamation lawsu ",0.375,0.0,Neutral
  is a twat,0.0,0.0,Neutral
"In case you missed our hot take on the Twitter oops...\nBinance, Bill Gates &amp;   The Big Oops of 2020 - Cr ",0.47500000000000003,0.125,Positive
"Pay-to-tweet model Would you pay to stay on ? If so, how much? For comparison my daily paper is 65p (.2 ",0.1,0.1,Positive
    is not Jewish?,0.0,0.0,Neutral
Twitter's addition of mild disclaimers on certain presidential tweets stands in stark contrast to Facebook persis ,0.557142857142857,0.11587301587301585,Positive
 It is happening to me also. I am only using this social platform until November when Trump wins..... J ,0.4222222222222222,0.1111111111111111,Positive
" The day President Trump finish his second Term, all his follower will delete their Twitter Account! Good Luck  ",0.30000000000000004,0.35,Positive
   would be thrilled!,0.7,0.75,Positive
 They wouldn't exist without  .,0.0,0.0,Neutral
  sent a pot of his lard to Huffington Post to protect him from using the bathroom,0.0,0.0,Neutral
  swore under oath he was not censoring or using God mode on Twitter! Somebody lied Underoath!,0.0,0.0,Neutral
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting ,0.0,0.0,Neutral
         ,0.0,0.0,Neutral
 So I discovered what I dared to point out that people don trust   when he announced his s ,0.0,0.0,Neutral
 I am on Parler with the same handle.  Provide us with your Parler account.  \nWe all know as we get cl ,0.125,0.0,Neutral
 _   Wouldn't surprise me if it was  ,0.0,0.0,Neutral
Protect Freedom of Speech on Twitter\n,0.0,0.0,Neutral
Nick Sandman has settled with Washington Post and CNN. 6More to go!\n\nWarning for Twatter CEO  . Who btw i ,0.0,0.0,Neutral
_giver Twitter Co-Founder  ,0.0,0.0,Neutral
"  grew up in a very comfy lifestyle in St. Louis, Mo. Very, very smart young man. However, he was burdene ",0.511904761904762,0.19285714285714287,Positive
_giver  ,0.0,0.0,Neutral
_giver  ,0.0,0.0,Neutral
_giver  ,0.0,0.0,Neutral
_giver  Patrick ,0.0,0.0,Neutral
_giver  ,0.0,0.0,Neutral
  Not entirely sure that     will care all that much about a walkout.,0.5444444444444444,-0.024999999999999994,Negative
 nice try  ,1.0,0.6,Positive
"_head We're coming for you,  .",0.0,0.0,Neutral
"Check this out! The wild life of billionaire Twitter CEO  , who eats one meal a day, has faced attempted ",0.4,0.1,Positive
 I found an error in your article. The founder of Twitter is not  Posobiec. His name is  Dors ,0.0,0.0,Neutral
  I found an error in your article. The founder of Twitter is not  Posobiec. His name ,0.0,0.0,Neutral
    is scared of Twetch. ,0.0,0.0,Neutral
_Onion   has his eye on you. ,0.0,0.0,Neutral
Careful BlackTwitter   might come for you too if you  scare Chrissy Teigen. ,1.0,-0.1,Negative
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting ,0.0,0.0,Neutral
    admitted two years ago that anyone who is conservative is scared to expres ,0.0,0.0,Neutral
    you s worded kul account before you can do it again cmon ,0.0,0.0,Neutral
 I really love your words of wisdom &amp; general insights...\nI think both of us have \pissed\ off twitter(ho ,0.55,0.275,Positive
7-24-20 - The Precipice Draws Near!\n\nBernie of Truth and Art TV weekend report   -  Thank     - Now surpa ,0.0,0.0,Neutral
       Republican Rep. Jim J ,0.0,0.0,Neutral
"  My only issue is they been panicking since he got elected, always a new distraction. I wis ",0.7272727272727273,0.06818181818181818,Positive
 Seems like the best alternative to Der Fuhrer  ( ),0.3,1.0,Positive
  confirms that Twitter is working on a subscription ,0.0,0.0,Neutral
Qanon. Fuck  ,0.6,-0.4,Negative
        ,0.0,0.0,Neutral
  Says Twitter Feels  After Massive Bitcoin Hacking Scandal via  ,1.0,0.0,Neutral
Twitter CEO   confirmed the social media platform is exploring a subscription model in a call with analys ,0.5333333333333333,0.21666666666666667,Positive
_company dear   you have acted against Trump when he spews lies can you kindly do the same here i ,0.5125,0.3,Positive
 dick head  hasn't allowed me to follow anyone in two days and I've lost around a hundred followers this ,0.0,0.0,Neutral
  is just 2 years older than me ;-).... ,0.6666666666666666,0.20833333333333331,Positive
  sent a baggy of his fascist friends to Huffington Post to protect him from sex positivity,0.0,0.0,Neutral
It is time to act and show your responsibility CEO of Twitter     -  should not ,0.0,0.0,Neutral
Twitter CEO   confirmed the social media platform is exploring a subscription model in a call with analys ,0.5333333333333333,0.21666666666666667,Positive
" My perspective of   is based on incredibly limited data, unfortunately. Fortunately, that li ",0.4214285714285714,0.1642857142857143,Positive
"In the end, who would have been more memorable to society-\nElon Musk or  ? ",0.75,0.5,Positive
   Funny how FAKE POLLS coincide with Twitter purging conservatives fro ,1.0,-0.125,Negative
" I with you in principal; get mad at systems, not people.\n\nBut, if there are billionaires that ar ",1.0,-0.625,Negative
  Says Twitter Feels  After Massive Bitcoin Hacking Scandal\n,1.0,0.0,Neutral
"Disgusting thing is, after this disgraceful situation, the Postmaster and the Minister of Communication will still ",1.0,-1.0,Negative
So   removed Wiley's antisemitic tweets but left his account up.\n\nIf he didn't have half a million fol ,0.08333333333333333,-0.08333333333333333,Negative
      exactly...Jews don't count as far as twitt ,1.0,0.1,Positive
"I in Twitter jail again. Apparently some of my tweets were considered abusive by  , the high priest of morality.",0.29666666666666663,0.03666666666666667,Positive
Bill Gates and   both recommend this book can help with anxiety and decision-making. ,0.0,0.0,Neutral
I also like Daddy Twitter  .,0.0,0.0,Neutral
" @_chrisadlam_23  The creator of Twitter, a whole ass multi billionaire walks 5 miles to wor ",0.4,0.2,Positive
As if the attack on   wasn't enough... Elon Musk is on fire today.  ,0.5,0.0,Neutral
Sandmann fired a warning shot at Twitter CEO  .\n\n have settled with WAPO and CNN. The fight isn over ,0.0,0.0,Neutral
"_amAbdulAzeez For accurate answer, contact  .",0.6333333333333334,0.4000000000000001,Positive
_menieb    isn't a part of rose emoji Twitter,0.95,0.6,Positive
"  said Twitter is in the 'very, very early phases' of exploring a subscription model and other additional ",0.3825,0.0025000000000000022,Positive
   I think Oliver was referring to the many people he follows who would describ ,0.5,0.5,Positive
  sent a pot of his turd to the Ghost of Ayn Rand to protect him from true religion jeans,0.65,0.35,Positive
Can't think why Twitter allows the antisemitism. It's a mystery.\n\n,0.0,0.0,Neutral
$TWTR ,0.0,0.0,Neutral
China sucks goat cocks.  Joe Biden is a pedophile who also sucks goat cocks.  Michelle Obama has a goat cock betwee ,0.3,-0.3,Negative
 Thank you Sir  for your Insights...\nThank you Sir  for your courage &amp; sense of sincerity.\nThank y ,0.0,0.0,Neutral
 We are fulltime twitter employees and we should ask   bonus for weekends.,0.0,0.0,Neutral
 I find that odd also until you discover what the leanings are of  . Funny how they never do ,0.625,0.04166666666666667,Positive
"Thanks,   and Twitter, for shadow banning me. I have six followers, but you still consider my thoughts a threat. Pathetic.",0.6,-0.4,Negative
"FAKE NEWS TAKE A BLOW TO THE BODY. \Don't hold your breath,  [].\ Washington Post settles $250M suit with ",1.0,-0.5,Negative
  is donating $3 million to kick off a universal basic income program  News ,0.0625,0.0,Neutral
"  Soros isn't right wing, Tim Cook isn't right wing,   isnt right wing, Marc Beniof ",0.5357142857142857,0.2857142857142857,Positive
"In a subsequent tweet Friday, Sandmann fired a warning shot at Twitter CEO  .\n\n have settled with WAPO ",0.05,0.0,Neutral
  own these street Pele o  ,1.0,0.6,Positive
  \  on His Latest Silent Meditation Retreat in Myanmar\ \n\n,0.5,0.25,Positive
It is   I will blame for all this rubbish\n\nBecause how will people mass report an account and then take i ,0.0,0.0,Neutral
__ _menieb  U never heard of  ?,0.0,0.0,Neutral
 _dilip1   _6    ,0.0,0.0,Neutral
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting\n\n ,0.0,0.0,Neutral
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting\n\n ,0.0,0.0,Neutral
   should give us an option\n\nAnyway Happy Balloons Day Bafoza,1.0,0.8,Positive
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting\n\n  via inc,0.0,0.0,Neutral
 _ _  _  _ustaz   ,0.0,0.0,Neutral
 _ _  _  _ustaz   ,0.0,0.0,Neutral
You Don Have to Starve Yourself for Days Like   to Get the Benefits of Fasting  ,0.0,0.0,Neutral
Dang 1\nVivian Dang\nTwitter\n25 July 2020\n        \n                            Bird App\n    The cultural significance ,0.1,0.1,Positive
  Yes makes you wonder why his Account is still active and will Cressida Dick Staff not gone ,0.6,-0.13333333333333333,Negative
  Wow Just realised he looks like   of twitter haha,0.65,0.15000000000000002,Positive
  got me fucked up lol ,0.7,0.10000000000000003,Positive
"  \In a .. tweet Friday, Sandmann fired a warning shot at Twitter CEO  \n\n have se ",0.0,0.0,Neutral
"Twitter Boss Apologizes for Hack Amid Claim 1,000-Plus Workers Had Access to Abused Tools ",0.0,0.0,Neutral
Seriously? 145 thousand people have died and this is how he spends his time? The guy is complete garbage.  ,0.5333333333333333,-0.11666666666666665,Negative
   has some pedo twitter posts... if he didn't delete them yet....what a lowlife techies... ,0.0,0.0,Neutral
  sent a baggy of his piss to the KKK to protect him from waking up,0.0,0.0,Neutral
Kudos to Nicolas Sandman. Great victory against Wash Post and CNN. Now targeting Twitter &amp;  .\n\We have se ,0.75,0.8,Positive
   Trump met with Twitter CEO    and complained about his follower count ,0.2,-0.3,Negative
What if we take down Zuckerberg name and put up  instead? Zuck can have the money back.  &gt;&gt;&gt;&gt;&gt;&gt;mark. ,0.14444444444444446,-0.07777777777777779,Negative
"     Yup, privately.\n\nTrump met with Twitter CEO    and c ",0.0,0.0,Neutral
_  We all should report this account. Let's get  's attention.,0.0,0.0,Neutral
", bring back our PARODY ACCOUNTS, i need a snip into that chats MBOYA &amp; ONEKO had about 254 as a protectorate. ",0.0,0.0,Neutral
Rep. Jordan Invites Twitter CEO   to Testify Monday\n ,0.0,0.0,Neutral
 Gained me as a Follower.  I'm worth a lot more than 199 faint hearts dear Lady.  At least my wife think ,0.5,1.3877787807814457e-17,Positive
  I wouldn't be surprised if   is a pedophile himself who may have also made trips to Jeff ,0.9,0.1,Positive
 Will we have to pay for our Twitter accounts? What   said\n  ..,0.0,0.0,Neutral
Twitter billionaire   just announced he will be funding a universal basic income experiment that could af ,0.0625,0.0,Neutral
    is a billionaire so I guess in a way you are agreeing with Elon then?,0.0,0.0,Neutral
Twitter Considering Subscription-Based Model After Large Dip in Ad Revenue  Considering Subs ,0.42857142857142855,0.21428571428571427,Positive
  is donating $3 million to kick off a universal basic income program - Fast Company ,0.24166666666666667,0.06666666666666667,Positive
its ad after ad i see   its on sight,0.0,0.0,Neutral
_InTheDay why would anyone share their nudes with  ,0.0,0.0,Neutral
 I think the article meant  . Not  Posobiec.,0.0,0.0,Neutral
"  said Twitter is in the 'very, very early phases' of exploring a subscription model and other additional ",0.3825,0.0025000000000000022,Positive
"By last Monday evening, Posts were suddenly flying and new Followers hit 3,934\nThen-as though someone ( Twitter ) t ",0.34040404040404043,0.04545454545454545,Positive
How about that?   Of TWATTER TWITT Invited &amp; Ordered To Court For His Testimony...Interfering w/Freedom O ,0.0,0.0,Neutral
" , founder of twitter. evan spiegel founder of snap. both are billionaires right? but they own software c ",0.7678571428571428,0.44285714285714284,Positive
The 'Covington Kid' included an ominous threat for Twitter CEO  . Culture liberalmedia mediabias ,0.0,0.0,Neutral
  \n  - Got The Idea Of Twitter at age 15\n\nBill Gates - Got The Idea of Microsoft in hig ,0.0,0.0,Neutral
The power of twitter  I will buy and hold $TWTR. There! Yeah I bought her and I don mind telling the world about ,0.0,0.0,Neutral
 \n  - Got The Idea Of Twitter at age 15\n\nBill Gates - Got The Idea of Microsoft in high school ,0.5399999999999999,0.16,Positive
  sent a ziploc of his hair to the KKK to protect him from Syphilis,0.0,0.0,Neutral
_Beautifu2 Interesting. so the silly conspiracy theory has now been  Legitimized by  ,0.6875,0.0,Neutral
  hate and insult strangers with minimal provocation.  Hey didn   say that exactl ,0.75,-0.45,Negative
Wtf is   thinking? If is definitely gonna kill Twitter people are sick of his censorship and pretending he is not a publisher,0.7857142857142857,-0.4047619047619048,Negative
"Does anybody know where Fearless Leader,   is hiding out these days? Just curious. ferretface",1.0,-0.1,Negative
Nick sandman won CNN and WAPO lawsuits ! Out of court! Amounts not disclosed! He is now 18    But Asshole  Dors ,0.0,0.0,Neutral
just because   says something does not mean it's true,0.66875,0.253125,Positive
 Kanye Twitter is censoring conservatives.\n\n Please help us with this can you speak with   please. Thank You,0.0,0.0,Neutral
" That's a Democrat propaganda account, it gained millions of followers faster than Twitter's limit allows i ",0.1,-0.1,Negative
After CNN's $$$ settlement WAPO has now settled with Nicholas Sandmann's defamation lawsuit.\n\nHad not-so-subtle war ,0.0,0.0,Neutral
 Can't wait until this Epstein stuff comes out and pedophile   brought to justice,0.0,0.0,Neutral
  looks like a corrupted chris pine,0.0,0.0,Neutral
"Yessssss!!!\n\nBillionaire Republican buys major Twitter stake, may oust CEO amid GOP concerns of bias, reports say | ",0.5,0.0625,Positive
  He will be demanding to speak to   soon.,0.0,0.0,Neutral
  Tell _Jordan that. He has a hearing with  . His DC number is 1-800-282-025 ,0.0,0.0,Neutral
Just letting YOU know  ...I screenshot encounters with YOUR TWITTER EMPLOYEE that is TROLLING me personal ,0.3,0.0,Neutral
   Mark Cuban and maybe   are the only good billionaires,0.8,0.35,Positive
" \When the managers eventually fire the employee, they can point to the performance improvement plan. That ",0.0,0.0,Neutral
"I watched an interview with  , and man, that guy looks like a man who knows he's changed the world, but ",0.0,0.0,Neutral
Investigate   ,0.0,0.0,Neutral
   gots to go,0.0,0.0,Neutral
\  is backing a plan to help \close the wealth and income\ gap for citizens in 16 US cities ,0.0,0.0,Neutral
   got android so delete your account,0.0,0.0,Neutral
@_TeeRay   stans Bayley confirmed,1.0,0.4,Positive
Stephen Colbert roasts Twitter and   over crypto scam ,0.0,0.0,Neutral
 1st amendment doesn't apply here be cuz it's an outlet owned by  n calls the shots actually soros ,0.1,0.0,Neutral
"Idk If He Premeditated It but I Think  , Created An Open form Of one Sided therapy.",0.5,0.0,Neutral
every broke teenager when   starts the twitter monthly subscriptions ,0.0,0.0,Neutral
        Been ar ,0.0,0.0,Neutral
   Leo why don't you have a blue check mark? You are on TV everyday and a public ,0.25555555555555554,-0.06666666666666667,Negative
"Internet News outlet like Patriots Soapbox gets Banned  with around 150,000 other American loving Patriots this wee ",0.44166666666666665,0.15833333333333333,Positive
"_Jordan I hear you'er going to have   as a guest Monday, If he shows up I'd really like 2 hear from h ",0.2,0.2,Positive
 Twitter hits 40 and always bounces back this time they may break through it.   was docume ,0.0,0.0,Neutral
  On Square Competitor  via ,0.0,0.0,Neutral
 Alt Headline   confirms Twitter is exploring how to reduce popularity of Twitter.,0.0,0.0,Neutral
 No Elon  is a good platform ideally.  ass  is who SUCKS!,0.6333333333333334,0.4083333333333334,Positive
  Great job Sandmann! Take down   and his corrupt twitter next!,0.5097222222222222,0.08611111111111111,Positive
" _marcus  Musk,   and other tech people were talking about UBI long before B ",0.3875,-0.0875,Negative
Twitter CEO   confirmed the company is indeed in the early stages of exploring a SubscriptionModel ,0.65,0.25,Positive
 Have you seen Rogan podcasts with  ? The second one with Tim Pool is better.,0.25,0.25,Positive
My own family has blocked me over the years. I sent my sister this lol and she blocked me. \n\nWhat are you afraid of ,0.8666666666666667,0.26666666666666666,Positive
"WAPO settles $250M suit with Covington teen Nick Sandmann  via   Friday,Sandmann fi ",0.0,0.0,Neutral
" _Backlog  why warn , he's complicit. this is exactly what he wanted.",0.25,0.25,Positive
I have a theory....not long ago several high profile conservative commentators and several Republican Politicans in ,0.235,0.0275,Positive
Gawd - Jimmy Patronis is dumb!Jimmy Patronis to Twitter CEO   'Your security gaps have become our proble ,0.0,0.0,Neutral
"\  banned all QAnon's ,  is a Pedophile...THe 7K Club\  - Twitter sent me.",0.0,0.0,Neutral
  sent an envelope of his cum to The Onion to protect him from inefficiency,0.0,0.0,Neutral
"CFO  to Twitter CEO   'Your security gaps have become our problem', via  ",0.0,0.0,Neutral
"CFO  to Twitter CEO   'Your security gaps have become our problem', via  ",0.0,0.0,Neutral
"CFO  to Twitter CEO   'Your security gaps have become our problem', via  ",0.0,0.0,Neutral
 You said they dont control are rule all banks are financial markets\nYes they do\nAnd all social media ,0.03333333333333333,0.016666666666666666,Positive
So dumb.  I heard   has to go sit before congress on the 27th.  I think he has some splaining to do.  ,0.5,-0.375,Negative
        ,0.0,0.0,Neutral
Not to mention a huge stake of Twitter has been bought by Conservative Billionaire Paul Singer who wants to oust Ja ,0.5,0.30000000000000004,Positive
 Yes they are \nRothschild\nRockefeller\nBloomberg\nWexler\nBranson\nGeorge Soros\nThen don't get me started ,0.0,0.0,Neutral
I wonder what honorable congressman in America are going to ask Mr.   when they meet this Monday. Support ,0.0,0.0,Neutral
      ,0.0,0.0,Neutral
We have settled with  and  . The fight isn't over. 2 down. 6 to go. Don't hold your breath  ,0.2888888888888889,-0.15555555555555559,Negative
\I can't believe this app is still free...\\n\I would pay for Twitter...\\n\nOya na! Shey you people have seen it!  \n_ ,0.0,0.0,Neutral
  ,0.0,0.0,Neutral
   IMHO - Sandmann tweet at   is clue. Educated guess is settle ,0.0,0.0,Neutral
 And so does  !!!,0.0,0.0,Neutral
 Why is this a promoted tweet? Bias POS!   lied to Congress. Jail,0.0,-0.1,Negative
  Says Twitter Feels  After Massive Bitcoin Hacking Scandal\n,1.0,0.0,Neutral
"\We have to make sure that the devices are in hand, they're working, there are hotspots, people are adequately trai ",0.611111111111111,0.41666666666666663,Positive
"Twitter Boss Apologizes for Hack Amid Claim 1,000-Plus Workers Had Access to Abused Tools ",0.0,0.0,Neutral
 confirmed in the call yesterday that the platform is now exploring ways to make additional money from users ,1.0,0.4,Positive
"   went to a catholic high school four blocks from where I standing right now. It decent, ",0.46059523809523806,0.1530952380952381,Positive
Had no idea   owned the Cash app,0.0,0.0,Neutral
 please may I request you to ask your team to look into my request. It seems to have fallen on deaf ears. Prec ,0.0,0.0,Neutral
"Twitter Boss Apologizes for Hack Amid Claim 1,000-Plus Workers Had Access to backend-\n\n\Twitter has 4,600 employees ",0.0,0.0,Neutral
I'm damn sure   hate Elon Musk and vice versa.\nTwitter twitter_sucks,0.8944444444444444,-0.15000000000000002,Negative
"Twitter boss apologizes for hack amid claim 1,000-plus workers had access to abused tools ",0.0,0.0,Neutral
Normally when people are accused of things they deny it if they haven't done it. They make a statement of some kind ,0.7749999999999999,0.375,Positive
whole lotta communists on twitter........George Soros is funneling money to   to turn everyone communist? I believe so.,0.4,0.2,Positive
"Twitter is actively exploring additional ways to make money from its users, including by considering a subscription ",0.6,-0.13333333333333333,Negative
I will be leaving this vampire  social media. It sucks my energy along with all of you.   controls your t ,0.18333333333333332,-0.13333333333333333,Negative
"YES, FUCK  , and his conservative Twitter Police! ",0.6,-0.5,Negative
" Really, Mr. Musk? And I thought  was cool cause I can say whateva I want and easily erase it with ",0.5611111111111112,0.3277777777777778,Positive
_520 We see I guess ,0.0,0.0,Neutral
"   He is set for LIFE, and coming after  ... ",0.0,0.0,Neutral
  Damn the power of Soy is strong with  ,0.7333333333333333,0.4333333333333333,Positive
"  doesn't exactly strike me as a paragon of morality. It's the exact opposite, actually. ",0.15,0.125,Positive
     is the owns cash app.  We should wait to see him in public.  Put his picture ,0.06666666666666667,0.0,Neutral
      is the owns cash app.  We should wait to see him in public.  Put his picture every ,0.06666666666666667,0.0,Neutral
 Is Twitter your favorite website? If I see hashtags like ComradeTrump and JewishPrivilege and bor ,1.0,0.5,Positive
      is the owns cash app.  We should wait to see him in public.  Put ,0.06666666666666667,0.0,Neutral
  _us _LDF Go to   house,0.0,0.0,Neutral
"_menieb  IMO   sucks.\nLightning network sucks.\nMost things he does, suck.\n\n",0.0,0.0,Neutral
 She has come again. Amaka oooh. Let goan tell   something\n\nEveryone loves money Sha. ,0.0,0.0,Neutral
"In a subsequent tweet Friday, Sandmann fired a warning shot at Twitter CEO  .\n\n have settled with WAPO ",0.05,0.0,Neutral
 _OpEd I'm on both platforms Eric. I'm still here fighting the fight. But my post go nowhere! ,0.0,0.0,Neutral
"If  , ever deciphered the real meaning of most of my Tweets. I be banned Forever. Thanks to intellectua ",0.3333333333333333,0.3,Positive
 's going to get a taste of  sitting in a a Court Room over his DISCRIMINATING against Conservatives when ,0.0,0.0,Neutral
  sent a baggy of his pizza to The Guardian to protect him from getting some shut-eye,0.0,0.0,Neutral
 Are you going to address the same demand to   for his allowing Twitter to be used as a platform to l ,0.125,0.0,Neutral
"Clock's ticking,  . If you look into the co-founder/ CEO of twitter he's a mess. The Bitcoin hacks (they ",0.175,-0.175,Negative
"  We are asking him,  , and looking for others who understand the value of UBI. ",0.0,0.0,Neutral
"While Sandmann has claimed a second victory, he says he isn't done yet. He filed a total of eight defamation lawsui ",0.375,0.0,Neutral
", why haven you responded?  They have some questions for you?  Will you commit perjury or try to double spea ",0.0,0.0,Neutral
"In a subsequent tweet Friday, Sandmann fired a warning shot at Twitter CEO   ",0.05,0.0,Neutral
  should have to subscribe to my tweets lmao get out of town ,1.0,0.6,Positive
   Maybe if you did your history you'd know the advocates of UBI include\nMartin Luther ,0.0,0.0,Neutral
Get ready you cretin    ,0.5,0.2,Positive
"Over 1,000 Twitter employees and contractors had access to the internal tools hackers exploited.\n\nAt the earnings c ",0.0,0.0,Neutral
  The shot at   at the end was classic.,0.16666666666666666,0.16666666666666666,Positive
